key,title,authors,year,venue,doi,topic,summary
el2026,Position: AI Development Should Prioritize Cognitive Security,"El B, Su S, Pappu A, Yin P, Heng J, Heng E, Wang R, Haupt A, Zou J",2026,ICLR 2026 Workshop,,cognitive-security-frameworks,"Argues that generative AI R&D must treat cognitive security as a first-class concern; proposes a framework covering sycophancy, epistemic autonomy, and AI-mediated influence harms. (ICLR 2026 Workshop)"
huang2023,On Challenges of AI to Cognitive Security and Safety,"Huang R, Zheng X, Shang Y, Xue X",2023,Security and Safety,10.1051/sands/2023012,cognitive-security-frameworks,"Analyzes cognitive domain security risks from LLMs; introduces Mimicry Computing, Mimicry Defense, and Mimicry Intelligence as bio-inspired countermeasures. (Security and Safety, 2023)"
greenstadt2008,Cognitive Security for Personal Devices,"Greenstadt R, Beal J",2008,AISec,10.1145/1456377.1456383,cognitive-security-frameworks,Proposes cognitive-inspired security models for personal devices: continuous multimodal biometrics and adjustably autonomous security agents that mimic human trust mechanisms. (AISec 2008)
akbulut2024,All Too Human? Mapping and Mitigating the Risks from Anthropomorphic AI,"Akbulut C, Weidinger L, Manzini A, Gabriel I, Rieser V",2024,Google DeepMind / AAAI,10.1609/aies.v7i1.31613,anthropomorphism,"Maps past and present anthropomorphic AI design features; identifies risks (over-reliance, privacy loss, emotional attachment); proposes ethical foresight and mitigation research directions. (Google DeepMind / AAAI 2024)"
kronemann2022,"How AI Encourages Consumers to Share Their Secrets? The Role of Anthropomorphism, Personalisation, and Privacy Concerns and Avenues for Future Research","Kronemann B, Kizgin H, Rana N, Dwivedi Y K",2022,Spanish Journal of Marketing - ESIC,10.1108/sjme-10-2022-0213,anthropomorphism,"Conceptual model showing anthropomorphic AI + personalisation positively predict information disclosure while privacy concerns negatively moderate it; applies personalisation-privacy paradox theory. (Spanish Journal of Marketing - ESIC, 2022)"
batista2026,A Rational Analysis of the Effects of Sycophantic AI,"Batista R M, Griffiths T L",2026,Princeton preprint,10.48550/arxiv.2602.14270,sycophancy,"Bayesian model shows sycophancy inflates user confidence without moving toward truth; N=557 Wason-task experiment finds unmodified LLMs suppress discovery as much as explicitly sycophantic prompting; unbiased AI yields 5× higher discovery. (Princeton preprint, Feb 2026)"
carro2024,Flattering to Deceive: The Impact of Sycophantic Behavior on User Trust in Large Language Models,Carro M V,2024,arXiv,10.48550/arxiv.2412.02802,sycophancy,Empirical study comparing sycophantic vs. standard GPT responses; finds sycophantic behavior negatively impacts trust calibration and reinforces discriminatory biases and misinformation. (arXiv Dec 2024)
vennemeyer2026,Sycophancy Is Not One Thing: Causal Separation of Sycophantic Behaviors in LLMs,"Vennemeyer D, Duong P A, Zhan T, Jiang T",2026,"U Cincinnati / CMU, arXiv",10.48550/arxiv.2509.21305,sycophancy,"Decomposes sycophancy into sycophantic agreement vs. sycophantic praise using activation analysis; shows they are causally distinct and independently suppressible across model families and scales. (U Cincinnati / CMU, arXiv 2026)"
qu2026,Easier to Mislead Than to Correct: Harmful and Beneficial Revision in LLM Conformity,"Qu J, Fu L, Hu Y",2026,"Amazon/Georgia Tech, arXiv",10.48550/arxiv.2606.01637,sycophancy,"Controlled multi-agent study: peer agreement makes it far easier to mislead LLMs than to correct them; social cues (consensus + authority labels) drive harmful revisions across 4 LLMs and 7 QA datasets. (Amazon/Georgia Tech, arXiv Jun 2026)"
nogueira2026,Measuring Opinion Bias and Sycophancy via LLM-based Persuasion,"Nogueira R, Bonás G K, Almeida T S, Roque A, Pires R, Abonizio H, Laitz T, Larcher C, Junior R M, Piau M",2026,"Maritaca AI, arXiv",10.48550/arxiv.2604.21564,sycophancy,"Introduces llm-bias-bench to uncover hidden LLM positions on contested topics; finds models hold opinions that propagate at scale into user decisions; robust to evasive disclaimers. (Maritaca AI, arXiv Apr 2026)"
guo2026,Stop Listening to Me! How Multi-turn Conversations Can Degrade LLM Reliability,"Guo K, Yan C, Baidya A, Brown K, Gao X, Xiong J, Yin Z, Malin B",2026,"Vanderbilt / Intuit, arXiv",10.48550/arxiv.2603.11394,sycophancy,"Introduces stick-or-switch framework; evaluates 17 LLMs on 3 clinical benchmarks; documents pervasive conversation tax where sycophantic switching accumulates across turns, degrading reliability in high-stakes healthcare contexts. (Vanderbilt / Intuit, arXiv May 2026)"
lindauer2026,To Offload or Not to Offload: How AI May Alleviate Cognitive Burden and Related Ethical Reflections,Lindauer L,2026,TU Munich IEAI Research Brief Q1,,cognitive-offloading,"Examines AI cognitive offloading across healthcare, education, and defense; raises ethical concerns about dependency, autonomy loss, and limits of delegating cognition to machines. (TU Munich IEAI Research Brief Q1 2026)"
gerlich2025,AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking,Gerlich M,2025,"Societies, MDPI",10.3390/soc15010006,cognitive-offloading,"Mixed-method N=666; significant negative correlation between AI tool usage and critical thinking mediated by cognitive offloading; younger users show higher dependency and lower critical thinking scores. (Societies, MDPI 2025)"
benedek2025,Impact of AI Tools on Learning Outcomes: Decreasing Knowledge and Over-Reliance,"Benedek M, Sziklai B R",2025,arXiv,10.48550/arxiv.2510.16019,cognitive-offloading,RCT at Corvinus University: AI-permitted students scored higher on exams but showed lower genuine knowledge; AI substitutes knowledge acquisition rather than supporting it. (arXiv Oct 2025)
tian2025,Learners' AI Dependence and Critical Thinking: The Psychological Mechanism of Fatigue and the Social Buffering Role of AI Literacy,"Tian J, Zhang R",2025,"Acta Psychologica, Elsevier",10.1016/j.actpsy.2025.105725,cognitive-offloading,"N=580 Chinese university students; AI dependence lowers critical thinking via cognitive fatigue as mediator; AI/information literacy buffers this effect; moderated mediation model (PROCESS Model 8). (Acta Psychologica, Elsevier 2025)"
znidaric2026,A Review of the Negative Effects of Digital Technology on Cognition,"Znidaric U, Strumbelj E, Machidona O",2026,"U Ljubljana, arXiv",10.48550/arxiv.2603.10025,cognitive-offloading,"Integrative review of 500+ empirical studies; documents four mechanisms of cognitive harm (functional interference, neurochemical dysregulation, attention fragmentation, metacognitive substitution); flags generative AI as a new vector for higher-order cognitive erosion. (U Ljubljana, arXiv Feb 2026)"
romeo2025,Exploring Automation Bias in Human-AI Collaboration: A Review and Implications for Explainable AI,"Romeo G, Conti D",2025,"AI & Society, Springer, ©",10.1007/s00146-025-02422-7,explainability-xai,"Systematic review of 35 studies (2015-2025); maps how automation bias manifests in high-stakes AI settings; finds XAI explanations can paradoxically reinforce unwarranted trust; proposes design principles to calibrate reliance. (AI & Society, Springer, © 2025)"
alonbarkat2023,Human-AI Interactions in Public Sector Decision Making: 'Automation Bias' and 'Selective Adherence' to Algorithmic Advice,"Alon-Barkat S, Busuioc M",2023,"Journal of Public Administration Research and Theory, Oxford",10.1093/jopart/muac007,automation-bias,"Studies how public-sector decision-makers interact with algorithmic advice; finds both automation bias (uncritical acceptance) and selective adherence (strategic non-compliance); raises accountability concerns for AI in government. (Journal of Public Administration Research and Theory, Oxford 2023)"
laux2025,Automation Bias in the AI Act: On the Legal Implications of Attempting to De-Bias Human Oversight of AI,"Laux J, Ruschemeier H",2025,"Forthcoming, European Journal of Risk Regulation",10.1017/err.2025.10033,automation-bias,"Analyzes EU AI Act's mandate for human oversight and automation-bias awareness; finds AIA's focus on providers inadequately addresses design and context as causes; argues harmonized standards must hold both providers and deployers accountable. (Forthcoming, European Journal of Risk Regulation)"
bengio2026,International AI Safety Report 2026,Bengio Y (Chair) et al.,2026,,,cognitive-security-frameworks,"Authoritative multi-nation safety report covering systemic AI risks including cognitive and societal harms; synthesizes consensus across 30+ countries on risk categories, safety evaluation, and governance priorities. (Feb 2026)"
jiao2026,AI Empathy Erodes Cognitive Autonomy in Younger Users,"Jiao J, Murali A, Afroogh S",2026,arXiv,10.48550/arxiv.2603.29886,emotional-dependency,Argues affective alignment in AI constitutes affective sycophancy that erodes cognitive autonomy; RLHF reward models embed adult-focused helpfulness signals that promote emotional dependency in younger users; proposes stoic architectures for functional neutrality. (arXiv Feb 2026)
potts2026,Invisible Failures in Human–AI Interactions,"Potts C, Sudhof M",2026,"Bigspin AI / Stanford, arXiv",10.48550/arxiv.2603.15423,automation-bias,"Analysis of 100K human-AI interactions (WildChat); finds 79% of AI failures are invisible — users give no overt signal something went wrong; identifies 8 failure archetypes with systematic co-occurrence patterns; failure rates dropped with newer models but invisibility remains. (Bigspin AI / Stanford, arXiv May 2026)"
waltzman2017,The Weaponization of Information: The Need for Cognitive Security,Waltzman R,2017,RAND CT-473,10.7249/ct473,cognitive-security-frameworks,"RAND Senate testimony that coined the modern case for cognitive security as a defense discipline against information weaponization. (RAND CT-473, 2017)"
deppe2024,Cognitive warfare: a conceptual analysis of the NATO ACT cognitive warfare exploratory concept,"Deppe C, Schaal G S",2024,Frontiers in Big Data,10.3389/fdata.2024.1452129,cognitive-security-frameworks,"Conceptual analysis and critique of NATO ACT's cognitive warfare exploratory concept; systematizes definitions and defense implications. (Frontiers in Big Data, Nov 2024)"
lee2025,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,"Lee H-P, Sarkar A, Tankelevitch L, Drosos I, Rintel S, Banks R, Wilson N",2025,"Microsoft/CMU, CHI",10.1145/3706598.3713778,cognitive-offloading,"Survey of 319 knowledge workers (936 real GenAI tasks): higher confidence in GenAI predicts less critical thinking; self-confidence predicts more. (Microsoft/CMU, CHI 2025)"
